"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
0,-25299.7,759.400000000001,-15968.4,-18452.3,-12635.9,-28540.8,-25710,3041.8,81264.6,36104.4,3434,11498.9,-9536.3,45824.1,19734.1,12123.9,7059.4,87507.6,-15310.1,-34792.8,-12482,15138.8,-21446.4,-12656.8,-39478.4,-8838.3,-30409.4,-38000.9,-36541.4,-23869.7
25299.7,0,26059.1,9331.3,6847.4,12663.8,-3241.1,-410.299999999999,28341.5,106564.3,61404.1,28733.7,36798.6,15763.4,71123.8,45033.8,37423.6,32359.1,112807.3,9989.6,-9493.1,12817.7,40438.5,3853.3,12642.9,-14178.7,16461.4,-5109.7,-12701.2,-11241.7,1430
-759.400000000001,-26059.1,0,-16727.8,-19211.7,-13395.3,-29300.2,-26469.4,2282.4,80505.2,35345,2674.6,10739.5,-10295.7,45064.7,18974.7,11364.5,6300,86748.2,-16069.5,-35552.2,-13241.4,14379.4,-22205.8,-13416.2,-40237.8,-9597.7,-31168.8,-38760.3,-37300.8,-24629.1
15968.4,-9331.3,16727.8,0,-2483.9,3332.5,-12572.4,-9741.6,19010.2,97233,52072.8,19402.4,27467.3,6432.1,61792.5,35702.5,28092.3,23027.8,103476,658.300000000003,-18824.4,3486.4,31107.2,-5478,3311.6,-23510,7130.1,-14441,-22032.5,-20573,-7901.3
18452.3,-6847.4,19211.7,2483.9,0,5816.4,-10088.5,-7257.7,21494.1,99716.9,54556.7,21886.3,29951.2,8916,64276.4,38186.4,30576.2,25511.7,105959.9,3142.2,-16340.5,5970.3,33591.1,-2994.1,5795.5,-21026.1,9614,-11957.1,-19548.6,-18089.1,-5417.4
12635.9,-12663.8,13395.3,-3332.5,-5816.4,0,-15904.9,-13074.1,15677.7,93900.5,48740.3,16069.9,24134.8,3099.6,58460,32370,24759.8,19695.3,100143.5,-2674.2,-22156.9,153.900000000001,27774.7,-8810.5,-20.8999999999978,-26842.5,3797.6,-17773.5,-25365,-23905.5,-11233.8
28540.8,3241.1,29300.2,12572.4,10088.5,15904.9,0,2830.8,31582.6,109805.4,64645.2,31974.8,40039.7,19004.5,74364.9,48274.9,40664.7,35600.2,116048.4,13230.7,-6252,16058.8,43679.6,7094.4,15884,-10937.6,19702.5,-1868.6,-9460.1,-8000.6,4671.1
25710,410.299999999999,26469.4,9741.6,7257.7,13074.1,-2830.8,0,28751.8,106974.6,61814.4,29144,37208.9,16173.7,71534.1,45444.1,37833.9,32769.4,113217.6,10399.9,-9082.8,13228,40848.8,4263.6,13053.2,-13768.4,16871.7,-4699.4,-12290.9,-10831.4,1840.3
-3041.8,-28341.5,-2282.4,-19010.2,-21494.1,-15677.7,-31582.6,-28751.8,0,78222.8,33062.6,392.199999999997,8457.1,-12578.1,42782.3,16692.3,9082.1,4017.6,84465.8,-18351.9,-37834.6,-15523.8,12097,-24488.2,-15698.6,-42520.2,-11880.1,-33451.2,-41042.7,-39583.2,-26911.5
-81264.6,-106564.3,-80505.2,-97233,-99716.9,-93900.5,-109805.4,-106974.6,-78222.8,0,-45160.2,-77830.6,-69765.7,-90800.9,-35440.5,-61530.5,-69140.7,-74205.2,6243,-96574.7,-116057.4,-93746.6,-66125.8,-102711,-93921.4,-120743,-90102.9,-111674,-119265.5,-117806,-105134.3
-36104.4,-61404.1,-35345,-52072.8,-54556.7,-48740.3,-64645.2,-61814.4,-33062.6,45160.2,0,-32670.4,-24605.5,-45640.7,9719.70000000001,-16370.3,-23980.5,-29045,51403.2,-51414.5,-70897.2,-48586.4,-20965.6,-57550.8,-48761.2,-75582.8,-44942.7,-66513.8,-74105.3,-72645.8,-59974.1
-3434,-28733.7,-2674.6,-19402.4,-21886.3,-16069.9,-31974.8,-29144,-392.199999999997,77830.6,32670.4,0,8064.9,-12970.3,42390.1,16300.1,8689.9,3625.4,84073.6,-18744.1,-38226.8,-15916,11704.8,-24880.4,-16090.8,-42912.4,-12272.3,-33843.4,-41434.9,-39975.4,-27303.7
-11498.9,-36798.6,-10739.5,-27467.3,-29951.2,-24134.8,-40039.7,-37208.9,-8457.1,69765.7,24605.5,-8064.9,0,-21035.2,34325.2,8235.2,625,-4439.5,76008.7,-26809,-46291.7,-23980.9,3639.9,-32945.3,-24155.7,-50977.3,-20337.2,-41908.3,-49499.8,-48040.3,-35368.6
9536.3,-15763.4,10295.7,-6432.1,-8916,-3099.6,-19004.5,-16173.7,12578.1,90800.9,45640.7,12970.3,21035.2,0,55360.4,29270.4,21660.2,16595.7,97043.9,-5773.8,-25256.5,-2945.7,24675.1,-11910.1,-3120.5,-29942.1,697.999999999996,-20873.1,-28464.6,-27005.1,-14333.4
-45824.1,-71123.8,-45064.7,-61792.5,-64276.4,-58460,-74364.9,-71534.1,-42782.3,35440.5,-9719.70000000001,-42390.1,-34325.2,-55360.4,0,-26090,-33700.2,-38764.7,41683.5,-61134.2,-80616.9,-58306.1,-30685.3,-67270.5,-58480.9,-85302.5,-54662.4,-76233.5,-83825,-82365.5,-69693.8
-19734.1,-45033.8,-18974.7,-35702.5,-38186.4,-32370,-48274.9,-45444.1,-16692.3,61530.5,16370.3,-16300.1,-8235.2,-29270.4,26090,0,-7610.2,-12674.7,67773.5,-35044.2,-54526.9,-32216.1,-4595.3,-41180.5,-32390.9,-59212.5,-28572.4,-50143.5,-57735,-56275.5,-43603.8
-12123.9,-37423.6,-11364.5,-28092.3,-30576.2,-24759.8,-40664.7,-37833.9,-9082.1,69140.7,23980.5,-8689.9,-625,-21660.2,33700.2,7610.2,0,-5064.5,75383.7,-27434,-46916.7,-24605.9,3014.9,-33570.3,-24780.7,-51602.3,-20962.2,-42533.3,-50124.8,-48665.3,-35993.6
-7059.4,-32359.1,-6300,-23027.8,-25511.7,-19695.3,-35600.2,-32769.4,-4017.6,74205.2,29045,-3625.4,4439.5,-16595.7,38764.7,12674.7,5064.5,0,80448.2,-22369.5,-41852.2,-19541.4,8079.4,-28505.8,-19716.2,-46537.8,-15897.7,-37468.8,-45060.3,-43600.8,-30929.1
-87507.6,-112807.3,-86748.2,-103476,-105959.9,-100143.5,-116048.4,-113217.6,-84465.8,-6243,-51403.2,-84073.6,-76008.7,-97043.9,-41683.5,-67773.5,-75383.7,-80448.2,0,-102817.7,-122300.4,-99989.6,-72368.8,-108954,-100164.4,-126986,-96345.9,-117917,-125508.5,-124049,-111377.3
15310.1,-9989.6,16069.5,-658.300000000003,-3142.2,2674.2,-13230.7,-10399.9,18351.9,96574.7,51414.5,18744.1,26809,5773.8,61134.2,35044.2,27434,22369.5,102817.7,0,-19482.7,2828.1,30448.9,-6136.3,2653.3,-24168.3,6471.8,-15099.3,-22690.8,-21231.3,-8559.6
34792.8,9493.1,35552.2,18824.4,16340.5,22156.9,6252,9082.8,37834.6,116057.4,70897.2,38226.8,46291.7,25256.5,80616.9,54526.9,46916.7,41852.2,122300.4,19482.7,0,22310.8,49931.6,13346.4,22136,-4685.6,25954.5,4383.4,-3208.1,-1748.6,10923.1
12482,-12817.7,13241.4,-3486.4,-5970.3,-153.900000000001,-16058.8,-13228,15523.8,93746.6,48586.4,15916,23980.9,2945.7,58306.1,32216.1,24605.9,19541.4,99989.6,-2828.1,-22310.8,0,27620.8,-8964.4,-174.799999999999,-26996.4,3643.7,-17927.4,-25518.9,-24059.4,-11387.7
-15138.8,-40438.5,-14379.4,-31107.2,-33591.1,-27774.7,-43679.6,-40848.8,-12097,66125.8,20965.6,-11704.8,-3639.9,-24675.1,30685.3,4595.3,-3014.9,-8079.4,72368.8,-30448.9,-49931.6,-27620.8,0,-36585.2,-27795.6,-54617.2,-23977.1,-45548.2,-53139.7,-51680.2,-39008.5
21446.4,-3853.3,22205.8,5478,2994.1,8810.5,-7094.4,-4263.6,24488.2,102711,57550.8,24880.4,32945.3,11910.1,67270.5,41180.5,33570.3,28505.8,108954,6136.3,-13346.4,8964.4,36585.2,0,8789.6,-18032,12608.1,-8963,-16554.5,-15095,-2423.3
12656.8,-12642.9,13416.2,-3311.6,-5795.5,20.8999999999978,-15884,-13053.2,15698.6,93921.4,48761.2,16090.8,24155.7,3120.5,58480.9,32390.9,24780.7,19716.2,100164.4,-2653.3,-22136,174.799999999999,27795.6,-8789.6,0,-26821.6,3818.5,-17752.6,-25344.1,-23884.6,-11212.9
39478.4,14178.7,40237.8,23510,21026.1,26842.5,10937.6,13768.4,42520.2,120743,75582.8,42912.4,50977.3,29942.1,85302.5,59212.5,51602.3,46537.8,126986,24168.3,4685.6,26996.4,54617.2,18032,26821.6,0,30640.1,9069,1477.5,2937,15608.7
8838.3,-16461.4,9597.7,-7130.1,-9614,-3797.6,-19702.5,-16871.7,11880.1,90102.9,44942.7,12272.3,20337.2,-697.999999999996,54662.4,28572.4,20962.2,15897.7,96345.9,-6471.8,-25954.5,-3643.7,23977.1,-12608.1,-3818.5,-30640.1,0,-21571.1,-29162.6,-27703.1,-15031.4
30409.4,5109.7,31168.8,14441,11957.1,17773.5,1868.6,4699.4,33451.2,111674,66513.8,33843.4,41908.3,20873.1,76233.5,50143.5,42533.3,37468.8,117917,15099.3,-4383.4,17927.4,45548.2,8963,17752.6,-9069,21571.1,0,-7591.5,-6132,6539.7
38000.9,12701.2,38760.3,22032.5,19548.6,25365,9460.1,12290.9,41042.7,119265.5,74105.3,41434.9,49499.8,28464.6,83825,57735,50124.8,45060.3,125508.5,22690.8,3208.1,25518.9,53139.7,16554.5,25344.1,-1477.5,29162.6,7591.5,0,1459.5,14131.2
36541.4,11241.7,37300.8,20573,18089.1,23905.5,8000.6,10831.4,39583.2,117806,72645.8,39975.4,48040.3,27005.1,82365.5,56275.5,48665.3,43600.8,124049,21231.3,1748.6,24059.4,51680.2,15095,23884.6,-2937,27703.1,6132,-1459.5,0,12671.7
23869.7,-1430,24629.1,7901.3,5417.4,11233.8,-4671.1,-1840.3,26911.5,105134.3,59974.1,27303.7,35368.6,14333.4,69693.8,43603.8,35993.6,30929.1,111377.3,8559.6,-10923.1,11387.7,39008.5,2423.3,11212.9,-15608.7,15031.4,-6539.7,-14131.2,-12671.7,0
